n_hidden_layers,alpha,learning_rate_init,activation,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,max_iter,learning_rate,batch_size,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
1.0,1e-08,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.486222,0.513207,0.513207,0.557726,0.542684,0.542684,635963965124512.4,640358944305851.6,640358944305851.6,19.59,19260817.0,1000.0,adaptive,auto,0.506576,0.568134,0.568134
1.0,1e-08,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.576637,0.557818,0.557818,0.506279,0.51722,0.51722,587244280334002.0,642369040113719.2,642369040113719.2,122.78,19260817.0,1000.0,adaptive,auto,0.565986,0.566038,0.566038
1.0,1e-08,0.0001,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.516425,0.552053,0.552053,0.541085,0.520581,0.520581,508374634036706.0,520336416868018.9,520336416868018.9,22.26,19260817.0,1000.0,adaptive,auto,0.512018,0.567086,0.567086
1.0,1e-08,0.0001,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.589701,0.555343,0.555343,0.498407,0.518666,0.518666,525952825557764.7,591050622935611.0,591050622935611.0,304.29,19260817.0,1000.0,adaptive,auto,0.560091,0.57652,0.57652
1.0,1e-08,0.1,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.503874,0.541032,0.541032,0.548062,0.526946,0.526946,606010792009878.2,618539999725772.4,618539999725772.4,11.82,19260817.0,1000.0,adaptive,auto,0.527891,0.574423,0.574423
1.0,1e-08,0.1,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.538892,0.541184,0.541184,0.528366,0.526859,0.526859,513912149049259.4,540291277362314.4,540291277362314.4,181.09,19260817.0,1000.0,adaptive,auto,0.563265,0.57652,0.57652
1.0,1e-08,0.1,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.445058,0.478844,0.478844,0.579638,0.561512,0.561512,658272243089237.2,679352272086221.9,679352272086221.9,16.9,19260817.0,1000.0,adaptive,auto,0.52585,0.550314,0.550314
1.0,1e-08,0.1,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.434334,0.448331,0.448331,0.585212,0.577716,0.577716,461043910331171.5,498341185379399.5,498341185379399.5,71.94,19260817.0,1000.0,adaptive,auto,0.541723,0.56499,0.56499
1.0,0.1,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.482967,0.509223,0.509223,0.55949,0.544901,0.544901,630482233050330.9,634742559728867.6,634742559728867.6,26.4,19260817.0,1000.0,adaptive,auto,0.507937,0.568134,0.568134
1.0,0.1,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.522506,0.539271,0.539271,0.537672,0.527956,0.527956,644745065820201.0,665937342107795.4,665937342107795.4,88.97,19260817.0,1000.0,adaptive,auto,0.531293,0.575472,0.575472
